fwb,abuse_email,keywords
Weebly - SafeNames,abuse@weebly.com,weebly
DuckDNS - Gandi SAS,support@duckdns.org,duckdns
000webhost - GoDaddy.com,abuse@000webhost.com,000webhost
Blockspot- MarkMonitor,registrar-abuse@google.com,blogspot
Wix.com- GoDaddy.com,security-report@wix.com,wix
Google Sites- MarkMonitor,registrar-abuse@google.com,sites.google
Github.io- MarkMonitor,privacy@github.com,github.io
Firebase- MarkMonitor ,firebase-removals@google.com,firebase
Squarespace- MarkMonitor,abuse@squarespace.com,square.site
Zoho Forms- MarkMonitor,abuse@zohocorp.com,forms.zoho
Wordpress- MarkMonitor,abusecomplaints@markmonitor.com,wordpress
Google Forms- MarkMonitor,registrar-abuse@google.com,docs.google
Sharepoint- NOM-IQ Ltd,phish@office365.microsoft.com,sharepoint
Yolasite- Safenames,abuse@yola.com,yolasite
MyFTP.org - Vitalwerks Internet Solutions,abuse@noip.com,myftp.org
GoDaddySites- GoDaddy.com. Private (Redacted),abuse@hosteurope.de,godaddy
Mailchimp- Network Solutions,abuse@mailchimp.com,mailchimp
Atwebpages- Enom Inc,abuse@enom.com,atwebpages
glitch.me - Gandi SAS,support@glitch.com,glitch.me
Webnode- Realtime Register B.V.,abuse@webnode.com,hpage
hPage- Mesh Digital Limited,abuse@domainbox.com,webnode
Herokuapp- Salesforce,heroku-abuse@salesforce.com,herokuapp
website.com - Tucows inc,domainabuse@tucows.com,website.com
Netlify - Name.com,fraud@netlify.com,netlify
